start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-7.0,-11.6,-2.5,,,,
1981,2010,2,-6.5,-11.3,-1.7,,,,
1981,2010,3,-3.7,-8.6,1.2,,,,
1981,2010,4,1.5,-3.1,6.1,,,,
1981,2010,5,6.1,0.8,11.3,,,,
1981,2010,6,11.5,5.9,17.1,,,,
1981,2010,7,16.4,10.8,21.9,,,,
1981,2010,8,16.3,10.9,21.7,,,,
1981,2010,9,12.4,7.2,17.6,,,,
1981,2010,10,6.6,2.0,11.1,,,,
1981,2010,11,1.7,-2.2,5.6,,,,
1981,2010,12,-3.1,-6.9,0.8,,,,
1991,2020,1,-7.3,-12.4,-2.2,101.2,,,
1991,2020,2,-7.4,-12.6,-2.1,101.3,,,
1991,2020,3,-4.4,-9.7,0.9,79.4,,,
1991,2020,4,0.8,-4.4,5.9,79.3,,,
1991,2020,5,5.5,-0.3,11.3,92.3,,,
1991,2020,6,10.6,4.6,16.6,98.0,,,
1991,2020,7,15.8,9.7,22.0,101.6,,,
1991,2020,8,16.0,10.1,21.8,103.0,,,
1991,2020,9,11.8,6.0,17.6,113.1,,,
1991,2020,10,6.2,1.0,11.3,133.7,,,
1991,2020,11,1.0,-3.5,5.4,113.5,,,
1991,2020,12,-4.2,-8.5,0.2,109.7,,,
